"ID","NAME","DESCRIPTION","PRODUCT_ID","PRODUCT_NAME","BLEND_RECIPE_ID","BLEND_RECIPE_NAME","IS_BASE_BLEND_ELIGIBLE","BLEND_FLUID_TYPE_ID","BLEND_FLUID_TYPE_NAME","IS_ADDITIVE_ELIGIBLE","ADDITIVE_TYPE_ID","ADDITIVE_TYPE_NAME","SPECIFIC_GRAVITY","MIX_WATER","YIELD","DENSITY","IS_THIXOTROPIC","BAGSIZE","AERCODE","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_PRI_CAT_ID","BLEND_PRI_CAT_NAME"
"292","One Part Spacer","","295","One Part Spacer","","","1","250","One Part Spacer","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4370000","1","2017/9/28 18:10:47.4370000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"293","BORAjel","","296","BORAjel","","","1","273","BORAjel","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4500000","1","2017/9/28 18:10:47.4500000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"294","WELLBLOCK 'T'","","297","WELLBLOCK 'T'","","","1","274","WELLBLOCK 'T'","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4600000","1","2017/9/28 18:10:47.4600000","9999/12/31 23:59:59.9970000","2","Preflush/Spacer/Displacement"
"295","Fresh Water","","299","Fresh Water","","","1","246","Fresh Water","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4830000","1","2017/9/28 18:10:47.4830000","9999/12/31 23:59:59.9970000","3","Client Provide"
"296","Base Oil","","300","Base Oil","","","1","59","Base Oil","0","","","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4970000","1","2017/9/28 18:10:47.4970000","9999/12/31 23:59:59.9970000","3","Client Provide"
"297","SAPP","","298","SAPP","","","0","","","1","102","SAPP","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.4730000","1","2017/9/28 18:10:47.4730000","9999/12/31 23:59:59.9970000","",""
"298","12/20 Round Sand","","369","12/20 Round Sand","","","0","","","1","255","12/20 Round Sand","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.5130000","1","2017/9/28 18:10:47.5130000","9999/12/31 23:59:59.9970000","",""
"299","AI-4","","370","AI-4","","","0","","","1","136","AI-4","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.5270000","1","2017/9/28 18:10:47.5270000","9999/12/31 23:59:59.9970000","",""
"300","AI-7","","371","AI-7","","","0","","","1","137","AI-7","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.5330000","1","2017/9/28 18:10:47.5330000","9999/12/31 23:59:59.9970000","",""
"301","AI-8","","301","AI-8","","","0","","","1","138","AI-8","1.06","","","","0","","","1","0","","2018/9/28 18:10:47.5430000","1","2017/9/28 18:10:47.5430000","9999/12/31 23:59:59.9970000","",""
